player_id,team,position,name,age,height_cm,weight_kg,games_played,goals,assists,points,plus_minus,pim,shots,shooting_pct,powerplay_goals,powerplay_points,career_games,career_goals,career_assists,career_points,career_plus_minus,career_pim,career_shots,career_shooting_pct,career_powerplay_goals,career_powerplay_points,goals_per_game,points_per_game,shots_per_game
8477541,TOR,D,Dakota Mermis,30,183,89,4,0,1,1,-2,2,6,0.0,0,0,78,4,9,13,3,39,76,0.0526,0,0,0.0,0.25,1.5
8479026,TOR,D,Philippe Myers,27,196,99,36,2,3,5,0,15,46,0.043478,0,0,194,10,31,41,5,87,281,0.0355,0,0,0.05555555555555555,0.1388888888888889,1.2777777777777777
8482158,TOR,D,Topi Niemela,22,183,81,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
8476853,TOR,D,Morgan Rielly,30,185,102,82,7,34,41,-8,21,126,0.055556,1,14,873,87,426,513,-23,250,1857,0.046799999999999994,15,173,0.08536585365853659,0.5,1.5365853658536586
8483546,TOR,D,Marshall Rifai,26,188,97,2,0,0,0,1,0,1,0.0,0,0,2,0,0,0,1,0,1,0.0,0,0,0.0,0.0,0.5
8475690,TOR,D,Chris Tanev,35,191,90,75,3,15,18,31,24,43,0.069767,0,0,867,36,172,208,153,218,704,0.051100000000000007,2,8,0.04,0.24,0.5733333333333334
8482174,TOR,D,William Villeneuve,22,188,83,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
8481570,TOR,D,Cade Webber,23,201,96,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
8482515,TOR,G,Artur Akhtyamov,23,188,77,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
8483710,TOR,G,Dennis Hildeby,23,201,102,6,0,0,0,0,0,0,0.0,0,0,6,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
8476899,TOR,G,Matt Murray,30,196,100,2,0,0,0,0,0,0,0.0,0,0,274,0,5,0,0,10,0,0.0,0,0,0.0,0.0,0.0
8476932,TOR,G,Anthony Stolarz,30,198,110,34,0,0,0,0,0,0,0.0,0,0,142,0,5,0,0,4,0,0.0,0,0,0.0,0.0,0.0
8479361,TOR,G,Joseph Woll,26,191,93,42,0,0,0,0,0,0,0.0,0,0,78,0,0,0,0,2,0,0.0,0,0,0.0,0.0,0.0
8477493,FLA,C,Aleksander Barkov,29,191,97,67,20,51,71,1,16,149,0.134228,9,28,804,286,496,782,124,164,2097,0.1363,84,243,0.29850746268656714,1.0597014925373134,2.2238805970149254
8477935,FLA,C,Sam Bennett,28,185,88,76,25,26,51,-15,90,241,0.103734,7,11,691,162,174,336,-21,670,1565,0.1035,34,66,0.32894736842105265,0.6710526315789473,3.1710526315789473
8480003,FLA,C,Jesper Boqvist,26,185,86,78,12,11,23,-4,14,87,0.137931,0,0,314,46,46,92,-9,44,354,0.12990000000000002,1,2,0.15384615384615385,0.2948717948717949,1.1153846153846154
8479981,FLA,L,Jonah Gadjovich,26,191,96,42,4,0,4,-7,60,43,0.093023,0,0,160,10,8,18,-20,312,140,0.07139999999999999,0,0,0.09523809523809523,0.09523809523809523,1.0238095238095237
8478421,FLA,L,A.J. Greer,28,191,95,81,6,11,17,4,130,86,0.069767,0,0,248,19,30,49,4,335,253,0.075,1,1,0.07407407407407407,0.20987654320987653,1.0617283950617284
8482113,FLA,C,Anton Lundell,23,185,89,79,17,28,45,17,36,158,0.107595,2,6,295,60,97,157,70,143,601,0.0998,4,20,0.21518987341772153,0.569620253164557,2.0
8480185,FLA,C,Eetu Luostarinen,26,191,87,80,9,15,24,12,28,87,0.103448,0,1,374,50,79,129,20,106,465,0.1075,4,9,0.1125,0.3,1.0875
8473419,FLA,C,Brad Marchand,36,175,82,71,23,28,51,-7,64,194,0.118557,5,13,1100,424,556,980,285,1115,2811,0.1508,84,247,0.323943661971831,0.7183098591549296,2.732394366197183
8477931,FLA,L,Tomas Nosek,32,191,90,59,1,8,9,4,10,47,0.021277,1,1,493,45,71,116,-9,162,619,0.0726,1,2,0.01694915254237288,0.15254237288135594,0.7966101694915254
8477933,FLA,C,Sam Reinhart,29,185,89,79,39,42,81,6,27,213,0.183099,13,30,775,294,325,619,-49,173,1847,0.1591,118,213,0.4936708860759494,1.0253164556962024,2.6962025316455698
8478542,FLA,C,Evan Rodrigues,31,180,83,82,15,17,32,-4,38,161,0.093168,4,7,547,96,143,239,-1,179,1232,0.0779,27,50,0.18292682926829268,0.3902439024390244,1.9634146341463414
8482713,FLA,R,Mackie Samoskevich,22,180,82,72,15,16,31,-4,12,129,0.116279,4,11,79,15,16,31,-7,12,140,0.10710000000000001,4,11,0.20833333333333334,0.4305555555555556,1.7916666666666667
8481477,FLA,C,Nico Sturm,29,191,95,62,7,7,14,-6,20,59,0.118644,0,0,331,46,46,92,-39,86,421,0.1092,1,1,0.11290322580645161,0.22580645161290322,0.9516129032258065
8479314,FLA,L,Matthew Tkachuk,27,188,92,52,22,35,57,-3,54,156,0.141026,11,23,642,240,396,636,130,690,1887,0.12710000000000002,76,208,0.4230769230769231,1.0961538461538463,3.0
8477409,FLA,C,Carter Verhaeghe,29,188,83,81,20,33,53,-14,46,242,0.082645,5,16,411,147,155,302,52,215,1094,0.1343,22,56,0.24691358024691357,0.654320987654321,2.9876543209876543
8484304,FLA,D,Uvis Balinskis,28,183,89,76,4,14,18,-7,27,92,0.043478,0,4,102,5,16,21,-7,35,114,0.0438,0,4,0.05263157894736842,0.23684210526315788,1.2105263157894737
8477932,FLA,D,Aaron Ekblad,28,193,100,56,3,30,33,11,53,106,0.028302,0,11,732,118,262,380,96,505,1794,0.06570000000000001,41,122,0.05357142857142857,0.5892857142857143,1.8928571428571428
8478055,FLA,D,Gustav Forsling,28,185,90,80,11,20,31,33,16,195,0.05641,0,1,477,57,135,192,158,167,990,0.0575,4,17,0.1375,0.3875,2.4375
8477495,FLA,D,Seth Jones,30,193,97,63,9,27,36,-24,22,129,0.069767,5,19,860,99,342,441,-139,308,1905,0.0519,27,150,0.14285714285714285,0.5714285714285714,2.0476190476190474
8475179,FLA,D,Dmitry Kulikov,34,185,96,70,4,9,13,12,38,64,0.0625,0,1,1018,50,197,247,-24,629,1166,0.042800000000000005,10,52,0.05714285714285714,0.18571428571428572,0.9142857142857143
8477034,FLA,D,Jaycob Megna,32,198,97,8,0,0,0,-2,2,5,0.0,0,0,193,4,23,27,-19,75,167,0.0239,0,0,0.0,0.0,0.625
8478859,FLA,D,Niko Mikkola,28,198,93,76,6,16,22,12,70,116,0.051724,0,0,328,14,48,62,15,263,361,0.0387,0,0,0.07894736842105263,0.2894736842105263,1.5263157894736843
8477220,FLA,D,Nate Schmidt,33,183,89,80,5,14,19,4,30,70,0.071429,0,4,741,52,187,239,106,152,987,0.0526,8,50,0.0625,0.2375,0.875
8475683,FLA,G,Sergei Bobrovsky,36,188,82,54,0,0,0,0,0,0,0.0,0,0,754,0,13,0,0,34,0,0.0,0,0,0.0,0.0,0.0
8477970,FLA,G,Vitek Vanecek,28,188,83,25,0,0,0,0,0,0,0.0,0,0,188,0,5,0,0,2,0,0.0,0,0,0.0,0.0,0.0
